,tag_header,tag_para,tag_formatting,word_count,interacting_span_tag,relative_x_coord,relative_y_coord,relative_listings,relative_hyperlinks,tag_img,src_img_interaction,red_flag_class,tag_table,tag_sup,tag_sup_child,red_flag_id,relative_table_elements,height_width_diff,name,attrs,,label
10,NO,NO,YES,3,NO,0.184336019,0.003781452,0,0,NO,NO,NO,NO,NO,NO,NO,0,-188.0833282,i,[],,1
11,NO,NO,NO,25480,NO,0.184336019,0.005375593,0.050117739,0.107456829,NO,NO,NO,NO,NO,NO,NO,0.023194662,25841.13245,div,"['bodyContent', ['mw-body-content']]",,1
12,NO,NO,NO,5,NO,0.184336019,0.005375593,0,0,NO,NO,NO,NO,NO,NO,NO,0,-1020.983307,div,"['siteSub', ['noprint']]",,1
13,NO,NO,NO,0,NO,0.195341155,0.006154127,nan,nan,NO,NO,NO,NO,NO,NO,NO,nan,-1029.833374,div,['contentSub'],,0
14,NO,NO,NO,0,NO,0.184336019,0.006747296,nan,nan,NO,NO,NO,NO,NO,NO,NO,nan,-1041.599976,div,['jump-to-nav'],,0
15,NO,NO,NO,3,NO,0.183418925,0.006710223,0,0,NO,NO,NO,NO,NO,NO,NO,0,0,a,"[['mw-jump-link'], '#mw-head']",,0
16,NO,NO,NO,3,NO,0.183418925,0.006710223,0,0,NO,NO,NO,NO,NO,NO,NO,0,0,a,"[['mw-jump-link'], '#p-search']",,0
17,NO,NO,NO,25279,NO,0.184336019,0.006747296,0.048538312,0.106175086,NO,NO,NO,NO,NO,NO,NO,0.023379089,25599.24963,div,"['mw-content-text', 'en', 'ltr', ['mw-content-ltr']]",,1
18,NO,NO,NO,25279,NO,0.184336019,0.006747296,0.048538312,0.106175086,NO,NO,NO,NO,NO,NO,NO,0.023379089,25599.24963,div,[['mw-parser-output']],,1
19,NO,NO,NO,12,NO,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,0,0,div,"[['shortdescription', 'nomobile', 'noexcerpt', 'noprint', 'searchaux'], 'display:none']",,0
20,NO,NO,NO,32,NO,0.184336019,0.006747296,0,0.0625,NO,NO,NO,NO,NO,NO,NO,0,-996.7999725,div,"['note', ['hatnote', 'navigation-not-searchable']]",,1
21,NO,NO,NO,4,NO,0.749266308,0.006895588,0,0,NO,NO,NO,NO,NO,NO,NO,0,-106.1166687,a,"['/wiki/A_Game_of_Thrones', 'A Game of Thrones']",,1
22,NO,NO,NO,4,NO,0.204512101,0.006895588,0,0,NO,NO,NO,NO,NO,NO,NO,0,-918.3666534,a,"['/wiki/Game_of_Thrones_(disambiguation)', ['mw-redirect', 'mw-disambig'], 'Game of Thrones (disambiguation)']",,1
23,NO,NO,NO,18,NO,0.184336019,0.008415584,0,0.055555556,NO,NO,NO,NO,NO,NO,NO,0,-1019.199982,div,"['note', ['hatnote', 'navigation-not-searchable']]",,1
24,NO,NO,NO,6,NO,0.629126912,0.008526803,0,0,NO,NO,NO,NO,NO,NO,NO,0,-123.2333221,a,"['/wiki/A_Song_of_Ice_and_Fire', 'A Song of Ice and Fire']",,1
25,NO,YES,NO,0,NO,0,0,nan,nan,NO,NO,NO,NO,NO,NO,NO,nan,0,p,[['mw-empty-elt']],,0
26,NO,NO,NO,126,NO,0.89049888,0.009750214,0.253968254,0.206349206,NO,NO,YES,YES,NO,NO,NO,0.650793651,1197.016724,table,"[['infobox', 'vevent'], 'width:22em']",,0
27,NO,NO,NO,126,NO,0.896918542,0.009972652,0.253968254,0.206349206,NO,NO,NO,YES,NO,NO,NO,0.650793651,1197.016602,tbody,[],,0
28,NO,NO,NO,3,NO,0.896918542,0.009972652,0,0,NO,NO,NO,NO,NO,NO,NO,0.333333333,-233.1333466,tr,[],,0
29,NO,NO,NO,3,NO,0.896918542,0.009972652,0,0,NO,NO,NO,NO,NO,NO,NO,0,-233.1333466,th,"['2', ['summary'], 'text-align:center;font-size:125%;font-weight:bold;font-style: italic; background: #CCCCFF; padding: 0.25em 1em; line-height: 1.5em; line-height: normal;']",,0
30,NO,NO,NO,0,NO,0.896918542,0.011010698,nan,nan,NO,NO,NO,NO,NO,NO,NO,nan,-115.4333496,tr,[],,0
31,NO,NO,NO,0,NO,0.896918542,0.011010698,nan,nan,NO,NO,NO,NO,NO,NO,NO,nan,-115.4333496,td,"['2', 'text-align:center']",,0
32,NO,NO,NO,0,NO,0.90058692,0.013383373,nan,nan,NO,NO,YES,NO,NO,NO,NO,nan,-236.4000092,a,"['/wiki/File:Game_of_Thrones_title_card.jpg', ['image']]",,0
33,NO,NO,NO,0,NO,0.90058692,0.011047771,nan,nan,YES,YES,NO,NO,NO,NO,NO,nan,-109,img,"['Game of Thrones title card.jpg', '//upload.wikimedia.org/wikipedia/en/thumb/d/d8/Game_of_Thrones_title_card.jpg/250px-Game_of_Thrones_title_card.jpg', 'async', '250', '141', '//upload.wikimedia.org/wikipedia/en/d/d8/Game_of_Thrones_title_card.jpg 1.5x', '350', '197']",,0
34,NO,NO,NO,4,NO,0.896918542,0.016423364,0.5,0.5,NO,NO,NO,NO,NO,NO,NO,0.5,-219.4666901,tr,[],,0
35,NO,NO,NO,1,NO,0.896918542,0.016423364,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.11668396,th,['row'],,0
36,NO,NO,NO,3,NO,0.997798951,0.016423364,0.666666667,0.666666667,NO,NO,NO,NO,NO,NO,NO,0,-109.3833313,td,[['category']],,0
37,NO,NO,NO,3,NO,0.998716045,0.016460437,0.666666667,0.666666667,NO,NO,NO,NO,NO,NO,NO,0,-109.3833313,div,[['plainlist']],,0
38,NO,NO,NO,3,NO,0.998716045,0.016460437,0.666666667,0.666666667,NO,NO,NO,NO,NO,NO,NO,0,-109.3833313,ul,[],,0
39,NO,NO,NO,1,NO,0.998716045,0.016460437,0,1,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
40,NO,NO,NO,1,NO,0.998716045,0.016571656,0,0,NO,NO,NO,NO,NO,NO,NO,0,-30.18331909,a,"['/wiki/Fantasy', 'Fantasy']",,0
41,NO,NO,NO,2,NO,0.998716045,0.017164825,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,li,[],,0
42,NO,NO,NO,2,NO,0.998716045,0.017238971,0,0,NO,NO,NO,NO,NO,NO,NO,0,-56.2166748,a,"['/wiki/Serial_(radio_and_television)', 'Serial (radio and television)']",,0
43,NO,NO,NO,7,NO,0.896918542,0.017980432,0.285714286,0.285714286,NO,NO,NO,NO,NO,NO,NO,0.285714286,-219.4666748,tr,[],,0
44,NO,NO,NO,2,NO,0.896918542,0.017980432,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.1166687,th,['row'],,0
45,NO,NO,NO,5,NO,0.997798951,0.017980432,0.4,0.4,NO,NO,NO,NO,NO,NO,NO,0,-109.383316,td,[],,0
46,NO,NO,NO,5,NO,0.998716045,0.018017505,0.4,0.4,NO,NO,NO,NO,NO,NO,NO,0,-109.383316,div,[['plainlist']],,0
47,NO,NO,NO,5,NO,0.998716045,0.018017505,0.4,0.4,NO,NO,NO,NO,NO,NO,NO,0,-109.383316,ul,[],,0
48,NO,NO,NO,2,NO,0.998716045,0.018017505,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
49,NO,NO,NO,2,NO,0.998716045,0.018128724,0,0,NO,NO,NO,NO,NO,NO,NO,0,-59.41665649,a,"['/wiki/David_Benioff', 'David Benioff']",,0
50,NO,NO,NO,3,NO,0.998716045,0.018721893,0,0.333333333,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
51,NO,NO,NO,3,NO,0.998716045,0.018796039,0,0,NO,NO,NO,NO,NO,NO,NO,0,-50.46665955,a,"['/wiki/D._B._Weiss', 'D. B. Weiss']",,0
52,NO,NO,NO,11,NO,0.896918542,0.019537501,0,0.181818182,NO,NO,NO,NO,NO,NO,NO,0.181818182,-219.4666901,tr,[],,0
53,NO,NO,NO,2,NO,0.896918542,0.019537501,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.11668396,th,['row'],,0
54,NO,NO,NO,10,NO,0.997798951,0.019537501,0,0.2,NO,NO,NO,NO,NO,NO,NO,0,-109.3833313,td,[],,0
55,NO,NO,YES,6,NO,0.998716045,0.019685793,0,0.166666667,NO,NO,NO,NO,NO,NO,NO,0,-108.9000092,i,[],,0
56,NO,NO,NO,6,NO,0.998716045,0.019685793,0,0,NO,NO,NO,NO,NO,NO,NO,0,-108.9000092,a,"['/wiki/A_Song_of_Ice_and_Fire', 'A Song of Ice and Fire']",,0
57,NO,NO,NO,0,NO,1.110601589,0.019574574,nan,nan,NO,NO,NO,NO,NO,NO,NO,nan,18.4666748,br,[],,0
58,NO,NO,NO,4,NO,1.013389559,0.020353108,0,0,NO,NO,NO,NO,NO,NO,NO,0,-96.58334351,a,"['/wiki/George_R._R._Martin', 'George R. R. Martin']",,0
59,NO,NO,NO,7,NO,0.896918542,0.021094569,0,0.142857143,NO,NO,NO,NO,NO,NO,NO,0.285714286,-219.4666748,tr,[],,0
60,NO,NO,NO,1,NO,0.896918542,0.021094569,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.1166687,th,['row'],,0
61,NO,NO,NO,7,NO,0.997798951,0.021094569,0,0.142857143,NO,NO,NO,NO,NO,NO,NO,0,-109.383316,td,[['attendee']],,0
62,NO,NO,NO,6,NO,0.998716045,0.021242861,0,0,NO,NO,NO,NO,NO,NO,NO,0,-74.66665649,a,"['/wiki/List_of_Game_of_Thrones_characters#Main_characters', 'List of Game of Thrones characters']",,0
63,NO,NO,YES,3,NO,0.998716045,0.021242861,0,0,NO,NO,NO,NO,NO,NO,NO,0,-74.66665649,i,[],,0
64,NO,NO,NO,4,NO,0.896918542,0.022651637,0,0.25,NO,NO,NO,NO,NO,NO,NO,0.5,-219.4666901,tr,[],,0
65,NO,NO,NO,3,NO,0.896918542,0.022651637,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.11668396,th,['row'],,0
66,NO,NO,NO,2,NO,0.997798951,0.022651637,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-109.3833313,td,[],,0
67,NO,NO,NO,2,NO,0.998716045,0.02279993,0,0,NO,NO,NO,NO,NO,NO,NO,0,-69.2333374,a,"['/wiki/Ramin_Djawadi', 'Ramin Djawadi']",,0
68,NO,NO,NO,3,NO,0.896918542,0.024208706,0,0.333333333,NO,NO,NO,NO,NO,NO,NO,0.666666667,-237.9500122,tr,[],,0
69,NO,NO,NO,2,NO,0.896918542,0.024208706,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,th,['row'],,0
70,NO,NO,NO,2,NO,0.997798951,0.024208706,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,td,[],,0
71,NO,NO,NO,2,NO,1.002384424,0.024356998,0,0,NO,NO,NO,NO,NO,NO,NO,0,-39.31666565,a,"['/wiki/Game_of_Thrones_Theme', 'Game of Thrones Theme']",,0
72,NO,NO,NO,2,NO,0.896918542,0.025098459,0,0,NO,NO,NO,NO,NO,NO,NO,1,-237.9500122,tr,[],,0
73,NO,NO,NO,1,NO,0.896918542,0.025098459,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,th,['row'],,0
74,NO,NO,NO,2,NO,0.997798951,0.025098459,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,td,[],,0
75,NO,NO,NO,4,NO,0.896918542,0.025951139,0,0,NO,NO,NO,NO,NO,NO,NO,0.5,-237.9500122,tr,[],,0
76,NO,NO,NO,3,NO,0.896918542,0.025951139,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,th,['row'],,0
77,NO,NO,NO,2,NO,0.997798951,0.025951139,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,td,[],,0
78,NO,NO,NO,2,NO,0.896918542,0.026840893,0,0,NO,NO,NO,NO,NO,NO,NO,1,-219.4666901,tr,[],,0
79,NO,NO,NO,2,NO,0.896918542,0.026840893,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.11668396,th,['row'],,0
80,NO,NO,NO,1,NO,0.897835637,0.027619427,0,0,NO,NO,YES,NO,NO,NO,NO,0,-55.4833374,span,[['nowrap']],,0
81,NO,NO,NO,1,NO,0.997798951,0.026840893,0,0,NO,NO,NO,NO,NO,NO,NO,0,-109.3833313,td,[],,0
82,NO,NO,NO,3,NO,0.896918542,0.028397961,0,0,NO,NO,NO,NO,NO,NO,NO,0.666666667,-237.9500122,tr,[],,0
83,NO,NO,NO,3,NO,0.896918542,0.028397961,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,th,['row'],,0
84,NO,NO,NO,1,NO,0.897835637,0.02850918,0,0,NO,NO,NO,NO,NO,NO,NO,0,-6.233337402,abbr,['Number'],,0
85,NO,NO,NO,1,NO,0.997798951,0.028397961,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,td,[],,0
86,NO,NO,NO,6,NO,0.896918542,0.029250641,0,0.166666667,NO,NO,NO,NO,NO,NO,NO,0.333333333,-237.9500275,tr,[],,0
87,NO,NO,NO,3,NO,0.896918542,0.029250641,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.60002136,th,['row'],,0
88,NO,NO,NO,1,NO,0.897835637,0.02936186,0,0,NO,NO,NO,NO,NO,NO,NO,0,-6.233352661,abbr,['Number'],,0
89,NO,NO,NO,4,NO,0.997798951,0.029250641,0,0.25,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,td,[],,0
90,NO,NO,NO,3,NO,1.014306654,0.02936186,0,0.333333333,NO,NO,YES,NO,NO,NO,NO,0,-76.01667786,span,[['nowrap']],,0
91,NO,NO,NO,3,NO,1.017975032,0.02936186,0,0,NO,NO,NO,NO,NO,NO,NO,0,-67.81668091,a,"['/wiki/List_of_Game_of_Thrones_episodes', 'List of Game of Thrones episodes']",,0
92,NO,NO,NO,1,NO,0.896918542,0.030103322,0,0,NO,NO,NO,NO,NO,NO,NO,1,-233.7833405,tr,[],,0
93,NO,NO,NO,1,NO,0.896918542,0.030103322,0,0,NO,NO,NO,NO,NO,NO,NO,0,-233.7833405,th,"['2', ['summary'], 'text-align:center;background: #CCCCFF; padding: 0.25em 1em; line-height: 1.5em;']",,0
94,NO,NO,NO,19,NO,0.896918542,0.031141367,0.421052632,0.263157895,NO,NO,NO,NO,NO,NO,NO,0.105263158,-108.5666809,tr,[],,0
95,NO,NO,NO,2,NO,0.896918542,0.031141367,0,0,NO,NO,NO,NO,NO,NO,NO,0,42.7833252,th,['row'],,0
96,NO,NO,NO,1,NO,0.897835637,0.031956974,0,0,NO,NO,YES,NO,NO,NO,NO,0,-54.81668091,span,[['nowrap']],,0
97,NO,NO,NO,17,NO,0.997798951,0.031141367,0.470588235,0.294117647,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,td,[],,0
98,NO,NO,NO,17,NO,0.998716045,0.03117844,0.470588235,0.294117647,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,div,[['plainlist']],,0
99,NO,NO,NO,17,NO,0.998716045,0.03117844,0.470588235,0.294117647,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,ul,[],,0
100,NO,NO,NO,2,NO,0.998716045,0.03117844,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
101,NO,NO,NO,3,NO,0.998716045,0.031882828,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,li,[],,0
102,NO,NO,NO,2,NO,0.998716045,0.032550143,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
103,NO,NO,NO,2,NO,0.998716045,0.032661362,0,0,NO,NO,NO,NO,NO,NO,NO,0,-73.98332214,a,"['/wiki/Carolyn_Strauss', 'Carolyn Strauss']",,0
104,NO,NO,NO,2,NO,0.998716045,0.033254531,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
105,NO,NO,NO,2,NO,0.998716045,0.033921846,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
106,NO,NO,NO,2,NO,0.998716045,0.033995992,0,0,NO,NO,NO,NO,NO,NO,NO,0,-97.9833374,a,"['/wiki/Bernadette_Caulfield', 'Bernadette Caulfield']",,0
107,NO,NO,NO,2,NO,0.998716045,0.034626234,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,li,[],,0
108,NO,NO,NO,2,NO,0.998716045,0.034700381,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.54998779,a,"['/wiki/Bryan_Cogman', 'Bryan Cogman']",,0
109,NO,NO,NO,2,NO,0.998716045,0.035293549,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
110,NO,NO,NO,2,NO,0.998716045,0.035367696,0,0,NO,NO,NO,NO,NO,NO,NO,0,-83.59999084,a,"['/wiki/Miguel_Sapochnik', 'Miguel Sapochnik']",,0
111,NO,NO,NO,2,NO,0.998716045,0.035960864,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
112,NO,NO,NO,2,NO,0.998716045,0.036072084,0,0,NO,NO,NO,NO,NO,NO,NO,0,-54.83331299,a,"['/wiki/David_Nutter', 'David Nutter']",,0
113,NO,NO,NO,17,NO,0.896918542,0.036813545,0.470588235,0.058823529,NO,NO,NO,NO,NO,NO,NO,0.117647059,-108.5666809,tr,[],,0
114,NO,NO,NO,1,NO,0.896918542,0.036813545,0,0,NO,NO,NO,NO,NO,NO,NO,0,42.7833252,th,['row'],,0
115,NO,NO,NO,1,NO,0.897835637,0.036924764,0,0,NO,NO,YES,NO,NO,NO,NO,0,-55.51667786,span,[['nowrap']],,0
116,NO,NO,NO,16,NO,0.997798951,0.036813545,0.5,0.0625,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,td,[],,0
117,NO,NO,NO,16,NO,0.998716045,0.036850618,0.5,0.0625,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,div,[['plainlist']],,0
118,NO,NO,NO,16,NO,0.998716045,0.036850618,0.5,0.0625,NO,NO,NO,NO,NO,NO,NO,0,1.516677856,ul,[],,0
119,NO,NO,NO,2,NO,0.998716045,0.036850618,0,0.5,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,li,[],,0
120,NO,NO,NO,2,NO,0.998716045,0.036924764,0,0,NO,NO,NO,NO,NO,NO,NO,0,-56.66667175,a,"['/wiki/Mark_Huffam', 'Mark Huffam']",,0
121,NO,NO,NO,2,NO,0.998716045,0.037517933,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
122,NO,NO,NO,2,NO,0.998716045,0.038222321,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
123,NO,NO,NO,2,NO,0.998716045,0.038889636,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
124,NO,NO,NO,2,NO,0.998716045,0.039594024,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,li,[],,0
125,NO,NO,NO,2,NO,0.998716045,0.040261339,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
126,NO,NO,NO,2,NO,0.998716045,0.040965727,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
127,NO,NO,NO,2,NO,0.998716045,0.041633042,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
128,NO,NO,NO,10,NO,0.896918542,0.042485722,0.7,0,NO,NO,NO,NO,NO,NO,NO,0.2,-127.0500183,tr,[],,0
129,NO,NO,NO,2,NO,0.896918542,0.042485722,0,0,NO,NO,NO,NO,NO,NO,NO,0,24.29998779,th,['row'],,0
130,NO,NO,NO,8,NO,0.997798951,0.042485722,0.875,0,NO,NO,NO,NO,NO,NO,NO,0,-16.96665955,td,[],,0
131,NO,NO,NO,8,NO,0.998716045,0.042522795,0.875,0,NO,NO,NO,NO,NO,NO,NO,0,-16.96665955,div,[['plainlist']],,0
132,NO,NO,NO,8,NO,0.998716045,0.042522795,0.875,0,NO,NO,NO,NO,NO,NO,NO,0,-16.96665955,ul,[],,0
133,NO,NO,NO,2,NO,0.998716045,0.042522795,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,li,[],,0
134,NO,NO,NO,1,NO,0.998716045,0.04319011,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
135,NO,NO,NO,1,NO,0.998716045,0.043894498,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
136,NO,NO,NO,1,NO,0.998716045,0.044561813,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
137,NO,NO,NO,1,NO,0.998716045,0.045266202,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,li,[],,0
138,NO,NO,NO,1,NO,0.998716045,0.045933517,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
139,NO,NO,NO,1,NO,0.998716045,0.046637905,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
140,NO,NO,NO,3,NO,0.896918542,0.047453512,0,0,NO,NO,NO,NO,NO,NO,NO,0.666666667,-237.9500275,tr,[],,0
141,NO,NO,NO,2,NO,0.896918542,0.047453512,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.60002136,th,['row'],,0
142,NO,NO,NO,2,NO,0.997798951,0.047453512,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,td,[],,0
143,NO,NO,NO,12,NO,0.896918542,0.048343265,0.416666667,0,NO,NO,NO,NO,NO,NO,NO,0.166666667,-164.0166779,tr,[],,0
144,NO,NO,NO,2,NO,0.896918542,0.048343265,0,0,NO,NO,NO,NO,NO,NO,NO,0,-12.66667175,th,['row'],,0
145,NO,NO,NO,1,NO,0.897835637,0.049158872,0,0,NO,NO,YES,NO,NO,NO,NO,0,-55.5,span,[['nowrap']],,0
146,NO,NO,NO,10,NO,0.997798951,0.048343265,0.5,0,NO,NO,NO,NO,NO,NO,NO,0,-53.93331909,td,[],,0
147,NO,NO,NO,10,NO,0.998716045,0.048380338,0.5,0,NO,NO,NO,NO,NO,NO,NO,0,-53.93331909,div,[['plainlist']],,0
148,NO,NO,NO,10,NO,0.998716045,0.048380338,0.5,0,NO,NO,NO,NO,NO,NO,NO,0,-53.93331909,ul,[],,0
149,NO,NO,NO,2,NO,0.998716045,0.048380338,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
150,NO,NO,NO,2,NO,0.998716045,0.049047653,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
151,NO,NO,NO,2,NO,0.998716045,0.049752041,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
152,NO,NO,NO,2,NO,0.998716045,0.050419356,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666687,li,[],,0
153,NO,NO,NO,2,NO,0.998716045,0.051123744,0,0,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,li,[],,0
154,NO,NO,NO,4,NO,0.896918542,0.051939352,0,0.25,NO,NO,NO,NO,NO,NO,NO,0.5,-219.4666748,tr,[],,0
155,NO,NO,NO,1,NO,0.896918542,0.051939352,0,0,NO,NO,NO,NO,NO,NO,NO,0,-68.1166687,th,['row'],,0
156,NO,NO,NO,4,NO,0.997798951,0.051939352,0,0.25,NO,NO,NO,NO,NO,NO,NO,0,-109.383316,td,[],,0
157,NO,NO,NO,4,NO,0.998716045,0.052087644,0,0,NO,NO,NO,NO,NO,NO,NO,0,-97.46665955,a,"['/wiki/Warner_Bros._Television_Distribution', ['mw-redirect'], 'Warner Bros. Television Distribution']",,0
158,NO,NO,NO,1,NO,0.896918542,0.05349642,0,0,NO,NO,NO,NO,NO,NO,NO,1,-233.7833557,tr,[],,0
159,NO,NO,NO,1,NO,0.896918542,0.05349642,0,0,NO,NO,NO,NO,NO,NO,NO,0,-233.7833557,th,"['2', ['summary'], 'text-align:center;background: #CCCCFF; padding: 0.25em 1em; line-height: 1.5em;']",,0
160,NO,NO,NO,2,NO,0.896918542,0.054534466,0,0.5,NO,NO,NO,NO,NO,NO,NO,1,-237.9500122,tr,[],,0
161,NO,NO,NO,2,NO,0.896918542,0.054534466,0,0,NO,NO,NO,NO,NO,NO,NO,0,-86.6000061,th,['row'],,0
162,NO,NO,NO,1,NO,0.997798951,0.054534466,0,1,NO,NO,NO,NO,NO,NO,NO,0,-127.8666534,td,[],,0
163,NO,NO,NO,1,NO,0.998716045,0.054645685,0,0,NO,NO,NO,NO,NO,NO,NO,0,-13.09999084,a,"['/wiki/HBO', 'HBO']",,0
164,NO,NO,NO,3,NO,0.896918542,0.055387146,0,0.666666667,NO,NO,NO,NO,NO,NO,NO,0.666666667,-237.9500275,tr,[],,0
